shift,Jeff,Han,Sami1,Sami2,Perry1,Perry2,Tony1,Tony2,Mack,Ray
0,0.4038979965128053,0.5368079212867727,0.4799794443333065,0.5184554693086487,0.544564115615493,0.5152953428373083,0.6133210773377678,0.580521837492656,0.706059988077515,0.6579373076688627
1,0.4130295731463418,0.534034321288724,0.4731104739201747,0.5239851221714933,0.5503030441408391,0.5184006214956778,0.618369591780561,0.5985318525615804,0.703796462631592,0.6587964230437341
2,0.408184600511567,0.5378435678276271,0.4680633640306059,0.521636276597398,0.5477754114097831,0.5170302202668707,0.6269876838956541,0.6018450533424513,0.6877442825946455,0.6427196392565191
3,0.40798308551010765,0.5360218748771073,0.478007665445366,0.5097048462062475,0.5469030506852043,0.5175439904556387,0.6415362887528119,0.6161664273988892,0.6790625137225621,0.637819899990327
4,0.4020820015661456,0.5378651302360486,0.4652754099274,0.5124603147957909,0.5508633425897758,0.5211010418645479,0.6497847062386674,0.6175183499633905,0.6752965078088706,0.6315129407914577
5,0.40172359289520226,0.5407412560556231,0.47493982290906467,0.5055810388205151,0.5539452984108915,0.5142229355305848,0.6566836525198865,0.6248767384901109,0.6601441781643909,0.617868749157055
6,0.40375463082394464,0.5386432580800133,0.46878805201513774,0.514803077337061,0.5581346414783623,0.521385850560947,0.6587210726244135,0.6423131238442704,0.6525534654095265,0.6157816127575487
7,0.4089435093693575,0.5450026684304047,0.46392874260024153,0.5159324466696183,0.5544379678549298,0.522635630190005,0.660736896432234,0.6454231092709386,0.6326016204714255,0.5909458495279836
8,0.41359920616396806,0.5394479572763724,0.47320148829729014,0.503592037558689,0.5566656933791632,0.5218499004174386,0.6688831300799535,0.659673707738516,0.6229675396579681,0.5848926768995234
9,0.4130524001206628,0.5345948928691718,0.46037727822370117,0.5133531706792469,0.5605783510034925,0.5227504012842705,0.6734462875486547,0.6571179252331025,0.6194038165609576,0.5732853996642993
10,0.4093877874823626,0.5379024437673244,0.4732702579371432,0.5146881500815238,0.5611232559364985,0.5170443327057753,0.6726827048817193,0.6547678341901437,0.5990586702414378,0.5551232693634172
11,0.40539571073945196,0.5313393748739805,0.46326871831197614,0.5200413715210097,0.5622299563099933,0.5210703315873496,0.6685302373878712,0.6563129294222421,0.5928368513966187,0.5548183847225534
12,0.40804498198039063,0.5341799892739466,0.4614156683637779,0.5248912310040837,0.5562562772202309,0.521916866066485,0.6643803802482574,0.6536338580442123,0.5696954912449117,0.533237647077904
13,0.4121584966329979,0.529347027890516,0.4680842257466269,0.5143829817443057,0.5578559343009792,0.5215606727416658,0.6619533653167701,0.6503104171427394,0.5668836590946797,0.5332909496460676
14,0.4172052480851753,0.5265822076393915,0.4571255570760987,0.5097910396397424,0.5605433715371833,0.5226479722298906,0.6582812122827895,0.633246460850033,0.5675274389326943,0.5296759791543917
15,0.41005925310745084,0.5312944702315711,0.4682885194543095,0.5110089667824624,0.5578236795723198,0.5196492541924147,0.6522973515827717,0.6250289177241275,0.5486938766374798,0.5090405570436858
16,0.4067499883182244,0.5253810778958972,0.45702651883420625,0.5124707264238622,0.5598891493413701,0.522610809420787,0.6418539585516846,0.6198349939433222,0.5499930412384244,0.5087264516167623
17,0.40648838268302445,0.5270447297436262,0.45702194737503354,0.5147805794868843,0.5566321698048051,0.5218463166069184,0.6337617669474194,0.6026706633995251,0.5305518225972441,0.4977832818943104
18,0.40537730740944244,0.5322115668587756,0.46490942975945815,0.5058455580696677,0.553079227950247,0.5192960716701557,0.6172633676350578,0.59955599701587,0.5255832239649291,0.4987729880739321
19,0.41842462381806655,0.5307984044764422,0.4568401672007075,0.5118304120686556,0.5595071748568874,0.5178947193175122,0.6066245883889707,0.5745605685930928,0.5242888028824364,0.5028216691407539
20,0.4133458194594779,0.540206061952418,0.4615193484336234,0.5115910519601683,0.5569944976620294,0.5156175730157526,0.597662597906873,0.5666546955049038,0.5125817663522709,0.48552568266863405
21,0.4170709592628579,0.5416888338050339,0.4543989641319447,0.5117202280391977,0.5611390698571621,0.5173965568913678,0.5872716311074568,0.5639167238568397,0.5150185404450044,0.4876709087881005
22,0.42594609701098096,0.5397443012250573,0.44887845464047615,0.5130114029679873,0.5635501192789174,0.5206988455138217,0.5785185387601879,0.5495479416944726,0.5000726559528794,0.46074162769755506
23,0.42184333110350636,0.5424813264308435,0.44830153473100165,0.5058728068175318,0.5599044171400915,0.5219914400973462,0.5640955963255017,0.5483871781031233,0.49332430421813483,0.4660370782385198
24,0.4354374033389412,0.5422535309717121,0.4406692168883747,0.5066541999422169,0.5675980980217745,0.5230091427734723,0.5583076871047681,0.5290701143407225,0.4979213747779395,0.4595542367718507
25,0.44076451480329526,0.5477970689944475,0.444051468464856,0.5084490883195278,0.5670878369601062,0.5258556816154812,0.5458884964844903,0.5190293138399944,0.48569763683713235,0.4437249180348378
26,0.44457909106991533,0.5490095962118484,0.44318124290708233,0.5050908962778191,0.5731100541646437,0.5288541047247985,0.537326408941553,0.5243174213806644,0.48520950133863827,0.4422723791461809
27,0.4397766357961852,0.5530762604811756,0.4369063699581115,0.5094214588770012,0.5749202210172928,0.5347904656173524,0.5278836986301101,0.5066166184137176,0.47053607916371315,0.41933843086950506
28,0.42716803001564185,0.5588124080358485,0.4361348933718125,0.5027672408499184,0.5741988622648211,0.5371939623245113,0.5143650112259122,0.5071898706007071,0.4674865705999497,0.4229951878219137
29,0.4455107731578065,0.5546717498663427,0.43770835772488265,0.5051954897287327,0.5804801654963847,0.540623282695666,0.5125737448590222,0.4925114978032598,0.4759961587669699,0.4131841292543209
30,0.44225688089594395,0.5675871481660413,0.44389981100231246,0.5044945175896809,0.5804012813002641,0.5391990818194927,0.5029986099004112,0.4824766687667049,0.4638564024265506,0.39758908000934234
